Original	Comment	English	EnglishNodes	Deutsch	ZH	BE	SG	Francais	
A_hydrol_flood_freq_pera		floodfrequency_pera	HW_fHQb_pera	HW_fHQb_pera	HW_fHQb_pera	HW_fHQb_pera	HW_fHQb_pera	HW_fHQb_pera	
A_hydrol_flood_season_dat_ind		floodseasonality_dat_ind	HW_Distrb_dat_ind	HW_Distrb_dat_ind	HW_Distrb_dat_ind	HW_Distrb_dat_ind	HW_Distrb_dat_ind	HW_Distrb_dat_ind	
A_hydrol_flood_season_ref_ind		floodseasonality_ref_ind	HW_Distrb_ref_ind	HW_Distrb_ref_ind	HW_Distrb_ref_ind	HW_Distrb_ref_ind	HW_Distrb_ref_ind	HW_Distrb_ref_ind	
A_hydrol_lowflow_deltaQ347rb_percent		lowflow_deltaQ347rb_percent	NW_DeltaQ347rb_Prozent	NW_DeltaQ347rb_Prozent	NW_DeltaQ347rb_Prozent	NW_DeltaQ347rb_Prozent	NW_DeltaQ347rb_Prozent	NW_DeltaQ347rb_Prozent	
A_hydrol_lowflow_Q347r_lpers		lowflow_Q347r_lpers	NW_Q347r_lpers	NW_Q347r_lpers	NW_Q347r_lpers	NW_Q347r_lpers	NW_Q347r_lpers	NW_Q347r_lpers	
A_hydrol_lowflow_season_dat_ind		lowflowseasonality_dat_ind	NW_Distrb_dat_ind	NW_Distrb_dat_ind	NW_Distrb_dat_ind	NW_Distrb_dat_ind	NW_Distrb_dat_ind	NW_Distrb_dat_ind	
A_hydrol_lowflow_season_ref_ind		lowflowseasonality_ref_ind	NW_Distrb_ref_ind	NW_Distrb_ref_ind	NW_Distrb_ref_ind	NW_Distrb_ref_ind	NW_Distrb_ref_ind	NW_Distrb_ref_ind	
A_hydrol_lowflow_duration_d		lowflowduration_d	NW_dQ347d_d	NW_dQ347d_d	NW_dQ347d_d	NW_dQ347d_d	NW_dQ347d_d	NW_dQ347d_d	
A_hydrol_hydropeaking_intensity_ind		hydropeakingintensity_ind	IPSS_ind	IPSS_ind	IPSS_ind	IPSS_ind	IPSS_ind	IPSS_ind	
A_hydrol_hydropeaking_stress_ind		hydropeakingstress_ind	IhSchwall_ind	IhSchwall_ind	IhSchwall_ind	IhSchwall_ind	IhSchwall_ind	IhSchwall_ind	
A_hydrol_flushings_stress_ind		flushingstress_ind	IhSpuel_ind	IhSpuel_ind	IhSpuel_ind	IhSpuel_ind	IhSpuel_ind	IhSpuel_ind	
A_hydrol_flushings_freq_pera		flushingfreq_pera	fSpuel_pera	fSpuel_pera	fSpuel_pera	fSpuel_pera	fSpuel_pera	fSpuel_pera	
A_hydrol_raininput_freq_pera		raininputfreq_pera	fE_pera	fE_pera	fE_pera	fE_pera	fE_pera	fE_pera	
									
N_nutrients		nutrients	nutrients	Naehrstoffe	Naehrstoffe	Naehrstoffe	Naehrstoffe	Naehrstoffe	
N_nutrients_TP		TP	TP	TP	TP	TP	gP	TP	
N_nutrients_TPfilt		TP filt.	TP filt.	TP filt.	TP filt.	TP filt.	gP MF	TP filt.	
N_nutrients_PO4		PO4	PO4	PO4	PO4	PO4	PO4	PO4	
N_nutrients_TN		TN	TN	TN	TN	TN	gN	TN	
N_nutrients_NO3		NO3	NO3	NO3	NO3	NO3	NO3	NO3	
N_nutrients_NO2		NO2	NO2	NO2	NO2	NO2	NO2	NO2	
N_nutrients_NH4		NH4	NH4	NH4	NH4	NH4	NH4	NH4	
N_nutrients_TOC		TOC	TOC	TOC	TOC	TOC	TOC	TOC	
N_nutrients_DOC		DOC	DOC	DOC	DOC	DOC	DOC	DOC	
N_nutrients_BOD5		BOD5	BOD5	BSB5	BSB5	BSB5	BSB5	BSB5	
N_nutrients_O2		O2	O2	O2	O2	O2	O2	O2	
A_nutrients_TP_mgPperl		TP_mgPperl	Ges_P	TP_mgPperl	Ges_P	GesamtP	Gesamt_P	Ges_P	
A_nutrients_TPfilt_mgPperl		TPfilt_mgPperl	Ges_Pfilt	TPfilt_mgPperl	Ges_Pfilt	Ges_Pfilt	Ges_Pfilt	Ges_Pfilt	
A_nutrients_PO4_mgPperl		PO4_mgPperl	PO4_P	PO4_mgPperl	PO4_P	PO4	Ortho_Phosphat_P	PO4_P	
A_nutrients_TN_mgNperl		TN_mgNperl	Ges_N	TN_mgNperl	Ges_N	Ges_N	Gesamt_N	Ges_N	
A_nutrients_NO3_mgNperl		NO3_mgNperl	NO3_N	NO3_mgNperl	NO3_N	NO3	Nitrat_N	NO3_N	
A_nutrients_NO2_mgNperl		NO2_mgNperl	NO2_N_korr	NO2_mgNperl	NO2_N_korr	NO2	Nitrit_N	NO2_N_korr	
A_nutrients_NH4_mgNperl		NH4_mgNperl	NH4_N_korr	NH4_mgNperl	NH4_N_korr	NH4	Ammonium_N	NH4_N_korr	
A_nutrients_TOC_mgCperl		TOC_mgCperl	TOC	TOC_mgCperl	TOC	TOC	TOC	TOC	
A_nutrients_DOC_mgCperl		DOC_mgCperl	DOC	DOC_mgCperl	DOC	DOC	DOC	DOC	
A_nutrients_BOD5_mgOperl		BOD5_mgOperl	BSB5	BOD5_mgOperl	BSB5	BSB5	BSB5	BSB5	
A_nutrients_O2_mgOperl		O2_mgOperl	O2	O2_mgOperl	O2	O2	O2	O2	
A_nutrients_ClforNO2_mgperl		ClforNO2_mgperl	Cl_Median	ClfuerNO2_mgperl	Cl_Median	Cl_Median	Chlorid	Cl_Median	
A_nutrients_pH		pH	pH	pH	pH	pH	pH	pH	
A_nutrients_TforNH4_degC		TforNH4_degC	TfuerNH4	TfuerNH4_gradC	TfuerNH4	Temperatur	Temperatur	TfuerNH4	
									
N_diatoms		diatoms	diatoms	Diatomeen	Diatomeen	Diatomeen	Diatomeen	Diatomeen	
N_diatoms_diatindex		diatom index	diatom index	Diatomeen Index	Diatomeen Index	Diatomeen Index	Diatomeen Index	Diatomeen Index	
A_diatoms_diatindex_ind		diatomindex_ind	diatindex	Diatomeenindex_ind	diatindex	DI_CH	DI_CH_2007	diatindex	
									
N_invertebrates		invertebrates	invertebrates	Wirbellose	Wirbellose	Wirbellose	Wirbellose	Wirbellose	
N_invertebrates_makroind		makroind	makroind	Makroindex	Makro Index	Makro Index	Makroindex	Makro Index	
N_invertebrates_ibgn		ibgn	ibgn	IBGN	IBGN	IBGN	IBGN	IBGN	
N_invertebrates_ibch		ibch	ibch	IBCH	IBCH	IBCH	IBCH	IBCH	
A_invertebrates_makroind_ind		makroind_ind	makroindex	makroindex_ind	makroindex	Makroindex	Makroindex_Wert	makroindex	
A_invertebrates_ibgn_ind		ibgn_ind	ibgn	IBGN_ind	ibgn	ibgn	ibgn	ibgn	
A_invertebrates_ibch_ind		ibch_ind	ibch	IBCH_ind	ibch	ibch	IBCH_Wert	ibch	
									
N_fish		fish	fish	Fische	Fische	Fische	Fische	Fische	
N_fish_communitystructure		community comp.	community comp.	Arten / Dominanz	Arten / Dominanz	Arten / Dominanz	Arten / Dominanz	Arten / Dominanz	
N_fish_species		species	species	Artenspektrum	Artenspektrum	Artenspektrum	Artenspektrum	Artenspektrum	
N_fish_dominance		dominanceratio	dominanceratio	Domin.verhaelt.	Domin.verhaelt.	Domin.verhaelt.	Domin.verhaelt.	Domin.verhaelt.	
N_fish_popstruct		pop. str. key spec.	pop. str. key spec.	Pop.str. Indikat.	Pop.str. Indikat.	Pop.str. Indikat.	Pop.str. Indikat.	Pop.str. Indikat.	
N_fish_popstruct_trout		pop. struct. trout	pop. struct. trout	Pop.str. Forellen	Pop.str. Forellen	Pop.str. Forellen	Pop.str. Forellen	Pop.str. Forellen	
N_fish_popstruct_trout_agestructure		trout agestructure	trout agestructure	Altersstrukt. For.	Altersstrukt. For.	Altersstrukt. For.	Altersstrukt. For.	Altersstrukt. For.	
N_fish_popstruct_trout_zeroplusdensity		trout zeroplusdens.	trout zeroplusdens.	Nullpl.dichte For.	Nullpl.dichte For.	Nullpl.dichte For.	Nullpl.dichte For.	Nullpl.dichte For.	
N_fish_popstruct_trout_zeroplusdensity_plateau		trout zeroplusdens. plateau	trout zeroplusdens. plateau	Nullpl.d. For. Mittelland	Nullpl.d. For. Mittelland	Nullpl.d. For. Mittelland	Nullpl.d. For. Mittelland	Nullpl.d. For. Mittelland	
N_fish_popstruct_trout_zeroplusdensity_jura		trout zeroplusdens. jura	trout zeroplusdens. jura	Nullpl.d. For. Jura	Nullpl.d. For. Jura	Nullpl.d. For. Jura	Nullpl.d. For. Jura	Nullpl.d. For. Jura	
N_fish_popstruct_trout_zeroplusdensity_prealps		trout zeroplusdens. prealps	trout zeroplusdens. prealps	Nullpl.d. For. Voralpen	Nullpl.d. For. Voralpen	Nullpl.d. For. Voralpen	Nullpl.d. For. Voralpen	Nullpl.d. For. Voralpen	
N_fish_popstruct_trout_zeroplusdensity_alps		trout zeroplusdens. alps	trout zeroplusdens. alps	Nullpl.d. For. Alpen	Nullpl.d. For. Alpen	Nullpl.d. For. Alpen	Nullpl.d. For. Alpen	Nullpl.d. For. Alpen	
N_fish_popstruct_keyspecies2		pop. str. key spec. 2	pop. str. key spec. 2	Pop.str. Ind.art 2	Pop.str. Ind.art 2	Pop.str. Ind.art 2	Pop.str. Ind.art 2	Pop.str. Ind.art 2	
N_fish_popstruct_keyspecies3		pop. str. key spec. 3	pop. str. key spec. 3	Pop.str. Ind.art 3	Pop.str. Ind.art 3	Pop.str. Ind.art 3	Pop.str. Ind.art 3	Pop.str. Ind.art 3	
N_fish_popstruct_keyspecies4		pop. str. key spec. 4	pop. str. key spec. 4	Pop.str. Ind.art 4	Pop.str. Ind.art 4	Pop.str. Ind.art 4	Pop.str. Ind.art 4	Pop.str. Ind.art 4	
N_fish_popstruct_keyspecies5		pop. str. key spec. 5	pop. str. key spec. 5	Pop.str. Ind.art 5	Pop.str. Ind.art 5	Pop.str. Ind.art 5	Pop.str. Ind.art 5	Pop.str. Ind.art 5	
N_fish_density		fish density	fish density	Fischdichte	Fischdichte	Fischdichte	Fischdichte	Fischdichte	
N_fish_trout_density		trout density	trout density	Forellendichte	Forellendichte	Forellendichte	Forellendichte	Forellendichte	
N_fish_trout_density_plateau		trout density plateau	trout density plateau	Forellend. Mittelland	Forellend. Mittelland	Forellend. Mittelland	Forellend. Mittelland	Forellend. Mittelland	
N_fish_trout_density_jura		trout density jura	trout density jura	Forellend. Jura	Forellend. Jura	Forellend. Jura	Forellend. Jura	Forellend. Jura	
N_fish_trout_density_prealps		trout density prealps	trout density prealps	Forellend. Voralpen	Forellend. Voralpen	Forellend. Voralpen	Forellend. Voralpen	Forellend. Voralpen	
N_fish_trout_density_alps		trout density alps	trout density alps	Forellend. Alpen	Forellend. Alpen	Forellend. Alpen	Forellend. Alpen	Forellend. Alpen	
N_fish_density_keyspecies2		density key spec. 2	density key spec. 2	Dichte Ind.art 2	Dichte Ind.art 2	Dichte Ind.art 2	Dichte Ind.art 2	Dichte Ind.art 2	
N_fish_density_keyspecies3		density key spec. 3	density key spec. 3	Dichte Ind.art 3	Dichte Ind.art 3	Dichte Ind.art 3	Dichte Ind.art 3	Dichte Ind.art 3	
N_fish_density_keyspecies4		density key spec. 4	density key spec. 4	Dichte Ind.art 4	Dichte Ind.art 4	Dichte Ind.art 4	Dichte Ind.art 4	Dichte Ind.art 4	
N_fish_density_keyspecies5		density key spec. 5	density key spec. 5	Dichte Ind.art 5	Dichte Ind.art 5	Dichte Ind.art 5	Dichte Ind.art 5	Dichte Ind.art 5	
N_fish_anomalies		fish anomalies	fish anomalies	Fischanomalien	Fischanomalien	Fischanomalien	Fischanomalien	Fischanomalien	
A_region_class		switzerlandregion_class	Region_Klasse	Region_Klasse	Region_Klasse	Region_Klasse	Region_Klasse	Region_Klasse	
L_region_class_swissplateau		swissplateau	SchweizerMittelland	SchweizerMittelland	SchweizerMittelland	SchweizerMittelland	SchweizerMittelland	SchweizerMittelland	
L_region_class_swissjura		swissjura	SchweizerJura	SchweizerJura	SchweizerJura	SchweizerJura	SchweizerJura	SchweizerJura	
L_region_class_swissprealps		swissprealps	SchweizerVoralpen	SchweizerVoralpen	SchweizerVoralpen	SchweizerVoralpen	SchweizerVoralpen	SchweizerVoralpen	
L_region_class_swissalps		swissalps	SchweizerAlpen	SchweizerAlpen	SchweizerAlpen	SchweizerAlpen	SchweizerAlpen	SchweizerAlpen	
A_fish_species_class		species_class	Artenspektrum	Artenspektrum_Klasse	Artenspektrum	Artenspektrum	Artenspektrum	Artenspektrum	
L_fish_species_class_natural		natural	standortgerecht	standortgerecht	standortgerecht	standortgerecht	standortgerecht	standortgerecht	
L_fish_species_class_modified		modified	maessigveraendert	maessigveraendert	maessigveraendert	maessigveraendert	maessigveraendert	maessigveraendert	
L_fish_species_class_atypical		atypical	untypisch	untypisch	untypisch	untypisch	untypisch	untypisch	
A_fish_dominance_class		dominance_class	Dominanzverhaeltnis	Dominanzverhaeltnis_Klasse	Dominanzverhaeltnis	Dominanzverhaeltnis	Dominanzverhaeltnis	Dominanzverhaeltnis	
L_fish_dominance_class_typical		typical	typisch	typisch	typisch	typisch	typisch	typisch	
L_fish_dominance_class_tolerant		tolerant	tolerant	tolerant	tolerant	tolerant	tolerant	tolerant	
L_fish_dominance_class_atypical		atypical	atypisch	atypisch	atypisch	atypisch	atypisch	atypisch	
A_fish_popstruct_trout_zeroplusdensity_perha		troutzeroplusdensity_perha	Forellennullplusdichte_perha	Forellennullplusdichte_perha	Forellennullplusdichte_perha	Forellennullplusdichte_perha	Forellennullplusdichte_perha	Forellennullplusdichte_perha	
A_fish_popstruct_trout_ratiozeroplustoolder		troutratiozeroplustoolder	Forellennullpluszuaelter	Forellennullpluszuaelter	Forellennullpluszuaelter	Forellennullpluszuaelter	Forellennullpluszuaelter	Forellennullpluszuaelter	
A_fish_popstruct_keyspecies2_class		keyspecies2popstructure_class	Indikart2Popstr	Indikart2Pop.str_Klasse	Indikart2Popstr	Indikart2Popstr	Indikart2Popstr	Indikart2Popstr	
L_fish_popstruct_keyspecies2_class_present		present	vorhanden	vorhanden	vorhanden	vorhanden	vorhanden	vorhanden	
L_fish_popstruct_keyspecies2_class_notpresent		notpresent	nichtvorhanden	nichtvorhanden	nichtvorhanden	nichtvorhanden	nichtvorhanden	nichtvorhanden	
A_fish_popstruct_keyspecies3_class		keyspecies3popstructure_class	Indikart3Popstr	Indikart3Pop.str_Klasse 	Indikart3Popstr	Indikart3Popstr	Indikart3Popstr	Indikart3Popstr	
L_fish_popstruct_keyspecies3_class_present		present	vorhanden	vorhanden	vorhanden	vorhanden	vorhanden	vorhanden	
L_fish_popstruct_keyspecies3_class_notpresent		notpresent	nichtvorhanden	nichtvorhanden	nichtvorhanden	nichtvorhanden	nichtvorhanden	nichtvorhanden	
A_fish_popstruct_keyspecies4_class		keyspecies4popstructure_class	Indikart4Popstr	Indikart4Pop.str_Klasse	Indikart4Popstr	Indikart4Popstr	Indikart4Popstr	Indikart4Popstr	
L_fish_popstruct_keyspecies4_class_present		present	vorhanden	vorhanden	vorhanden	vorhanden	vorhanden	vorhanden	
L_fish_popstruct_keyspecies4_class_notpresent		notpresent	nichtvorhanden	nichtvorhanden	nichtvorhanden	nichtvorhanden	nichtvorhanden	nichtvorhanden	
A_fish_popstruct_keyspecies5_class		keyspecies5popstructure_class	Indikart5Popstr	Indikart5Pop.str_Klasse	Indikart5Popstr	Indikart5Popstr	Indikart5Popstr	Indikart5Popstr	
L_fish_popstruct_keyspecies5_class_present		present	vorhanden	vorhanden	vorhanden	vorhanden	vorhanden	vorhanden	
L_fish_popstruct_keyspecies5_class_notpresent		notpresent	nichtvorhanden	nichtvorhanden	nichtvorhanden	nichtvorhanden	nichtvorhanden	nichtvorhanden	
A_fish_trout_density_perha		troutdensity_perha	Forellendichte_perha	Forellendichte_perha	Forellendichte_perha	Forellendichte_perha	Forellendichte_perha	Forellendichte_perha	
A_fish_density_keyspecies2_class		keyspecies2density_class	Indikart2Dichte	Indikart2Dichte_Klasse	Indikart2Dichte	Indikart2Dichte	Indikart2Dichte	Indikart2Dichte	
L_fish_density_keyspecies2_class_high		high	hoch	hoch	hoch	hoch	hoch	hoch	
L_fish_density_keyspecies2_class_moderate		moderate	mittel	mittel	mittel	mittel	mittel	mittel	
L_fish_density_keyspecies2_class_low		low	gering	gering	gering	gering	gering	gering	
A_fish_density_keyspecies3_class		keyspecies3density_class	Indikart3Dichte	Indikart3Dichte_Klasse	Indikart3Dichte	Indikart3Dichte	Indikart3Dichte	Indikart3Dichte	
L_fish_density_keyspecies3_class_high		high	hoch	hoch	hoch	hoch	hoch	hoch	
L_fish_density_keyspecies3_class_moderate		moderate	mittel	mittel	mittel	mittel	mittel	mittel	
L_fish_density_keyspecies3_class_low		low	gering	gering	gering	gering	gering	gering	
A_fish_density_keyspecies4_class		keyspecies4density_class	Indikart4Dichte	Indikart4Dichte_Klasse	Indikart4Dichte	Indikart4Dichte	Indikart4Dichte	Indikart4Dichte	
L_fish_density_keyspecies4_class_high		high	hoch	hoch	hoch	hoch	hoch	hoch	
L_fish_density_keyspecies4_class_moderate		moderate	mittel	mittel	mittel	mittel	mittel	mittel	
L_fish_density_keyspecies4_class_low		low	gering	gering	gering	gering	gering	gering	
A_fish_density_keyspecies5_class		keyspecies5density_class	Indikart5Dichte	Indikart5Dichte_Klasse	Indikart5Dichte	Indikart5Dichte	Indikart5Dichte	Indikart5Dichte	
L_fish_density_keyspecies5_class_high		high	hoch	hoch	hoch	hoch	hoch	hoch	
L_fish_density_keyspecies5_class_moderate		moderate	mittel	mittel	mittel	mittel	mittel	mittel	
L_fish_density_keyspecies5_class_low		low	gering	gering	gering	gering	gering	gering	
A_fish_anomalies_fraction		fishanaomalies_class	Deformationen	Fischanomalien_Klasse	Deformationen	Deformationen	Deformationen	Deformationen	
									
N_physappearance		physical appearance	physical appearance	Aeusserer Aspekt	Aeusserer Aspekt	Aeusserer Aspekt	Aeusserer Aspekt	Aeusserer Aspekt	
N_physappearance_sludge		sludge	sludge	Verschlammung	Verschlammung	Verschlammung	Verschlammung	Verschlammung	
N_physappearance_sludge_quant		sludge quant.	sludge quant.	Verschl. Quant.	Verschl. Quant.	Verschl. Quant.	Verschl. Quant.	Verschl. Quant.	
N_physappearance_sludge_origin		sludge cause	sludge cause	Verschl. Ursache	Verschl. Ursache	Verschl. Ursache	Verschl. Ursache	Verschl. Ursache	
N_physappearance_turbidity		turbidity	turbidity	Truebung	Truebung	Truebung	Truebung	Truebung	
N_physappearance_turbidity_quant		turbidity quant.	turbidity quant.	Trueb. Quant.	Trueb. Quant.	Trueb. Quant.	Trueb. Quant.	Trueb. Quant.	
N_physappearance_turbidity_origin		turbidity origin	turbidity origin	Trueb. Ursache	Trueb. Ursache	Trueb. Ursache	Trueb. Ursache	Trueb. Ursache	
N_physappearance_discolor		discolor	discolor	Verfaerbung	Verfaerbung	Verfaerbung	Farbe	Verfaerbung	
N_physappearance_discolor_quant		discolor quant.	discolor quant.	Verf. Quant	Verf. Quant	Verf. Quant	Verf. Quant	Verf. Quant	
N_physappearance_discolor_origin		discolor origin	discolor origin	Verf. Ursache	Verf. Ursache	Verf. Ursache	Verf. Ursache	Verf. Ursache	
N_physappearance_foam		foam	foam	Schaum	Schaum	Schaum	Schaum	Schaum	
N_physappearance_foam_quant		foam quant.	foam quant.	Schaum Quant.	Schaum Quant.	Schaum Quant.	Schaum Quant.	Schaum Quant.	
N_physappearance_foam_origin		foam origin	foam origin	Schaum Ursache	Schaum Ursache	Schaum Ursache	Schaum Ursache	Schaum Ursache	
N_physappearance_odor		odor	odor	Geruch	Geruch	Geruch	Geruch	Geruch	
N_physappearance_odor_quant		odor quant.	odor quant.	Geruch Quant.	Geruch Quant.	Geruch Quant.	Geruch Quant.	Geruch Quant.	
N_physappearance_odor_origin		odor origin	odor origin	Geruch Ursache	Geruch Ursache	Geruch Ursache	Geruch Ursache	Geruch Ursache	
N_physappearance_ironsulfide		ironsulfide	ironsulfide	Eisensulfid	Eisensulfid	Eisensulfid	Eisensulfid	Eisensulfid	
N_physappearance_ironsulfide_quant		ironsulf. quant.	ironsulf. quant.	Eisensulf. Quant.	Eisensulf. Quant.	Eisensulf. Quant.	Eisensulf. Quant.	Eisensulf. Quant.	
N_physappearance_ironsulfide_origin		ironsulf. origin	ironsulf. origin	Eisensulf. Urs.	Eisensulf. Urs.	Eisensulf. Urs.	Eisensulf. Urs.	Eisensulf. Urs.	
N_physappearance_clogging		clogging	clogging	Kolmation	Kolmation	Kolmation	Kolmation	Kolmation	
N_physappearance_clogging_quant		clogging quant.	clogging quant.	Kolm. Quant.	Kolm. Quant.	Kolm. Quant.	Kolm. Quant.	Kolm. Quant.	
N_physappearance_clogging_origin		clogging origin	clogging origin	Kolm. Ursache	Kolm. Ursache	Kolm. Ursache	Kolm. Ursache	Kolm. Ursache	
N_physappearance_solidwaste		solidwaste	solidwaste	Abfaelle	Abfaelle	Abfaelle	Abfaelle	Abfaelle	
N_physappearance_hetcover		heterotrophic cover	heterotrophic cover	Heterotr. Bewuchs	Heterotr. Bewuchs	Heterotr. Bewuchs	Heterotr. Bewuchs	Heterotr. Bewuchs	
N_physappearance_hetcover_quant		het. cover quant.	het. cover quant.	Het. Bew. Quant.	Het. Bew. Quant.	Het. Bew. Quant.	Het. Bew. Quant.	Het. Bew. Quant.	
N_physappearance_hetcover_origin		het. cover origin	het. cover origin	Het. Bew. Urs.	Het. Bew. Urs.	Het. Bew. Urs.	Het. Bew. Urs.	Het. Bew. Urs.	
A_physappearance_sludge_quant_class		sludge_quant_class	A_Schlamm	Verschlammung_Klasse	A_Schlamm	Verschlammung	Schlamm	A_Schlamm	
L_physappearance_sludge_quant_class_none		none	1	kein	1	keine	1	1	
L_physappearance_sludge_quant_class_moderate		moderate	2	wenig	2	wenig /mittel	2	2	
L_physappearance_sludge_quant_class_high		high	3	viel	3	starke	3	3	
A_physappearance_sludge_origin_class		sludge_origin_class	C_Schlamm	Verschlammung_Ursache_Klasse	C_Schlamm	Verschlammung_natuerlich	C_Schlamm	C_Schlamm	
L_physappearance_sludge_origin_class_natural		natural	1	natuerlich	1	Ja	1	1	
L_physappearance_sludge_origin_class_anthropogenic		anthropogenic	2	anthropogen	2	Nein	2	2	
A_physappearance_turbidity_quant_class		turbidity_quant_class	A_Truebung	Truebung_Klasse	A_Truebung	Truebung	Truebung_quan	A_Truebung	
L_physappearance_turbidity_quant_class_none		none	1	kein	1	keine	1	1	
L_physappearance_turbidity_quant_class_moderate		moderate	2	leicht	2	geringe/mittlere	2	2	
L_physappearance_turbidity_quant_class_high		high	3	stark	3	starke	3	3	
A_physappearance_turbidity_origin_class		turbidity_origin_class	C_Truebung	Truebung_Ursache_Klasse	C_Truebung	Truebung_natuerlich	C_Truebung	C_Truebung	
L_physappearance_turbidity_origin_class_natural		natural	1	natuerlich	1	Ja	1	1	
L_physappearance_turbidity_origin_class_anthropogenic		anthropogenic	2	anthropogen	2	Nein	2	2	
A_physappearance_discolor_quant_class		discolor_quant_class	A_Verfaerbung	Verfaerbung_Klasse	A_Verfaerbung	Verfaerbung	Farbe_spez	A_Verfaerbung	
L_physappearance_discolor_quant_class_none		none	1	kein	1	keine	1	1	
L_physappearance_discolor_quant_class_moderate		moderate	2	leicht	2	leichte/mittlere	2	2	
L_physappearance_discolor_quant_class_high		high	3	stark	3	starke	3	3	
A_physappearance_discolor_origin_class		discolor_origin_class	C_Verfaerbung	Verfaerbung_Ursache_Klasse	C_Verfaerbung	Verfaerbung_natuerlich	C_Verfaerbung	C_Verfaerbung	
L_physappearance_discolor_origin_class_natural		natural	1	natuerlich	1	Ja	1	1	
L_physappearance_discolor_origin_class_anthropogenic		anthropogenic	2	anthropogen	2	Nein	2	2	
A_physappearance_foam_quant_class		foam_quant_class	A_Schaum	Schaum_Klasse	A_Schaum	Schaum	Schaum_quan	A_Schaum	
L_physappearance_foam_quant_class_none		none	1	kein	1	kein	1	1	
L_physappearance_foam_quant_class_moderate		moderate	2	wenig	2	wenig/mittel	2	2	
L_physappearance_foam_quant_class_high		high	3	viel	3	viel	3	3	
A_physappearance_foam_origin_class		foam_origin_class	C_Schaum	Schaum_Ursache_Klasse	C_Schaum	Schaum_natuerlich	C_Schaum	C_Schaum	
L_physappearance_foam_origin_class_natural		natural	1	natuerlich	1	Ja	1	1	
L_physappearance_foam_origin_class_anthropogenic		anthropogenic	2	anthropogen	2	Nein	2	2	
A_physappearance_odor_quant_class		odor_quant_class	A_Geruch	Geruch_Klasse	A_Geruch	Geruch	Geruch_quan	A_Geruch	
L_physappearance_odor_quant_class_none		none	1	kein	1	kein	1	1	
L_physappearance_odor_quant_class_moderate		moderate	2	leicht	2	gering/mittel	2	2	
L_physappearance_odor_quant_class_high		high	3	stark	3	stark	3	3	
A_physappearance_odor_origin_class		odor_origin_class	C_Geruch	Geruch_Ursache_Klasse	C_Geruch	Geruch_natuerlich	C_Geruch	C_Geruch	
L_physappearance_odor_origin_class_natural		natural	1	natuerlich	1	Ja	1	1	
L_physappearance_odor_origin_class_anthropogenic		anthropogenic	2	anthropogen	2	Nein	2	2	
A_physappearance_ironsulfide_quant_class		ironsulfide_quant_class	A_SulfidFlecken	Eisensulfid_Klasse	A_SulfidFlecken	EisensulfidFlecken	Eisensulfid_Flecken	A_SulfidFlecken	
L_physappearance_ironsulfide_quant_class_none		none	1	kein	1	0%	1	1	
L_physappearance_ironsulfide_quant_class_moderate		moderate	2	wenig	2	1 - 30 %	2	2	
L_physappearance_ironsulfide_quant_class_high		high	3	viel	3	> 30%	3	3	
A_physappearance_ironsulfide_origin_class		ironsulfide_origin_class	C_Eisensulfid	Eisensulfid_Ursache_Klasse	C_Eisensulfid	EisensulfidFlecken_natuerlich	C_Eisensulfid	C_Eisensulfid	
L_physappearance_ironsulfide_origin_class_natural		natural	1	natuerlich	1	Ja	1	1	
L_physappearance_ironsulfide_origin_class_anthropogenic		anthropogenic	2	anthropogen	2	Nein	2	2	
A_physappearance_clogging_quant_class		clogging_quant_class	A_Kolmation	Kolmation_Klasse	A_Kolmation	Kolmation	A_Kolmation	A_Kolmation	
L_physappearance_clogging_quant_class_none		none	1	kein	1	keine oder nur sehr geringe	1	1	
L_physappearance_clogging_quant_class_moderate		moderate	2	leicht	2	deutlich spuerbare	2	2	
L_physappearance_clogging_quant_class_high		high	3	stark	3	starke /sehr starke	3	3	
A_physappearance_clogging_origin_class		clogging_origin_class	C_Kolmation	Kolmation_Ursache_Klasse	C_Kolmation	Kolmation_natuerlich	C_Kolmation	C_Kolmation	
L_physappearance_clogging_origin_class_natural		natural	1	natuerlich	1	Ja	1	1	
L_physappearance_clogging_origin_class_anthropogenic		anthropogenic	2	anthropogen	2	Nein	2	2	
A_physappearance_solidwaste_quant_class		solidwaste_quant_class	A_Feststoffe_SE	Abfaelle_Klasse	A_Feststoffe_SE	Abfaelle_SE	Feststoffe_Abfaelle	A_Feststoffe_SE	
L_physappearance_solidwaste_quant_class_none		none	1	kein	1	keine	1	1	
L_physappearance_solidwaste_quant_class_moderate		moderate	2	vereinzelt	2	wenige/ mittel	2	2	
L_physappearance_solidwaste_quant_class_high		high	3	viel	3	viel	3	3	
A_physappearance_hetcover_quant_class		hetcover_class	A_hetero_Bew	Heterotropherbewuchs_Klasse	A_hetero_Bew	Heterotropher_Bewuchs	heterotropher_Bewuchs	A_hetero_Bew	
L_physappearance_hetcover_quant_class_none		none	1	kein	1	keine 	1	1	
L_physappearance_hetcover_quant_class_scattered		scattered	1.5	vereinzelt	1.5	vereinzelt	1.5	1.5	
L_physappearance_hetcover_quant_class_little		little	2	wenig	2	wenig	2	2	
L_physappearance_hetcover_quant_class_moderate		moderate	2.5	mittel	2.5	haeufig	2.5	2.5	
L_physappearance_hetcover_quant_class_high		high	3	viel	3	haeufig	3	3	
